0.341039	-0.624676
0.341578	-0.623252
0.342256	-0.621579
0.343431	-0.61679
0.347468	-0.608486
0.352979	-0.603075
0.35535	-0.60723
0.352307	-0.624998
0.344322	-0.660425
0.332057	-0.712337
0.313173	-0.779198
0.29021	-0.859338
0.264878	-0.951194
0.238606	-1.04978
0.21372	-1.14829
0.191868	-1.23948
0.173723	-1.31647
0.159049	-1.37493
0.146726	-1.41463
0.135897	-1.43915
0.126181	-1.45391
0.117398	-1.46115
0.109729	-1.46316
0.1048	-1.45966
0.101596	-1.45902
0.0982571	-1.45968
0.0966443	-1.46518
0.09631	-1.47328
0.0960993	-1.48804
0.0961739	-1.51153
0.0976363	-1.54632
0.1018	-1.57956
0.106759	-1.59057
0.110194	-1.59375
0.112394	-1.59637
0.116911	-1.6013
0.12411	-1.59872
0.135205	-1.5931
0.146187	-1.5835
0.156878	-1.57385
0.170899	-1.56553
0.185602	-1.5542
0.200424	-1.53911
0.215446	-1.51941
0.23055	-1.49914
0.245779	-1.47812
0.261755	-1.4563
0.278304	-1.43025
0.294144	-1.40177
0.30876	-1.37228
0.32328	-1.34531
0.338005	-1.31993
0.353431	-1.298
0.366936	-1.27936
0.377723	-1.26244
0.38737	-1.24361
0.394297	-1.22389
0.400153	-1.20381
0.40511	-1.18546
0.408654	-1.17049
0.410212	-1.15816
0.410128	-1.14749
0.410526	-1.13716
0.409745	-1.13111
0.407464	-1.1304
0.404593	-1.13079
0.40107	-1.13195
0.397032	-1.13205
0.393502	-1.1321
0.389774	-1.13681
